Iteration,Best Eval,Min Exec Time (ms),Avg Exec Time (ms),Median Exec Time (ms),Variance Exec Time (ms),Range Exec Time (ms),Improvement Time (%),Std Dev Exec Time (ms)
0,0.0039000296965241432,0.0039000296965241432,0.0039000296965241432,0.0039000296965241432,,0.0,0.0,
1,0.001800013706088066,0.001800013706088066,0.0028500217013061047,0.0028500217013061047,2.205033580043609e-06,0.002100015990436077,53.84615384615385,0.001484935547437534
2,0.001800013706088066,0.001800013706088066,0.002500019036233425,0.001800013706088066,1.4700223866957393e-06,0.002100015990436077,53.84615384615385,0.0012124447973807877
3,0.001800013706088066,0.001800013706088066,0.0023250177036970854,0.001800013706088066,1.1025167900218045e-06,0.002100015990436077,53.84615384615385,0.0010500079952180386
4,0.001800013706088066,0.001800013706088066,0.0022200169041752815,0.001800013706088066,8.820134320174436e-07,0.002100015990436077,53.84615384615385,0.0009391557016903234
5,0.001800013706088066,0.001800013706088066,0.0021500163711607456,0.001800013706088066,7.350111933478697e-07,0.002100015990436077,53.84615384615385,0.0008573279380423046
6,0.001800013706088066,0.001800013706088066,0.002100015990436077,0.001800013706088066,6.30009594298174e-07,0.002100015990436077,53.84615384615385,0.0007937314371361222
7,0.001800013706088066,0.001800013706088066,0.0020625157048925757,0.001800013706088066,5.512583950109022e-07,0.002100015990436077,53.84615384615385,0.000742467773718767
8,0.001800013706088066,0.001800013706088066,0.002033348816136519,0.001800013706088066,4.900074622319131e-07,0.002100015990436077,53.84615384615385,0.000700005330145359
9,0.001800013706088066,0.001800013706088066,0.002010015305131674,0.001800013706088066,4.410067160087218e-07,0.002100015990436077,53.84615384615385,0.0006640833652552379
10,0.001800013706088066,0.001800013706088066,0.001990924250673164,0.001800013706088066,4.009151963715653e-07,0.002100015990436077,53.84615384615385,0.0006331786449111856
11,0.001800013706088066,0.001800013706088066,0.001975015038624406,0.001800013706088066,3.6750559667393483e-07,0.002100015990436077,53.84615384615385,0.0006062223986903939
12,0.001800013706088066,0.001800013706088066,0.001961553397660072,0.001800013706088066,3.3923593539132444e-07,0.002100015990436077,53.84615384615385,0.0005824396409855054
13,0.001800013706088066,0.001800013706088066,0.0019500148482620716,0.001800013706088066,3.15004797149087e-07,0.002100015990436077,53.84615384615385,0.0005612528816398959
14,0.001800013706088066,0.001800013706088066,0.001940014772117138,0.001800013706088066,2.9400447733914786e-07,0.002100015990436077,53.84615384615385,0.00054222179718188
15,0.0017998972907662392,0.0017998972907662392,0.0019312574295327067,0.001800013706088066,2.756312356361288e-07,0.002100132405757904,53.84913883167667,0.0005250059386674867
16,0.0017998972907662392,0.0017998972907662392,0.001923530362546444,0.001800013706088066,2.59419312000444e-07,0.002100132405757904,53.84913883167667,0.0005093322216397113
17,0.0017998972907662392,0.0017998972907662392,0.0019166618585586548,0.001800013706088066,2.450085267175511e-07,0.002100132405757904,53.84913883167667,0.0004949833600410736
18,0.001700012944638729,0.001700012944638729,0.0019052592841418165,0.001800013706088066,2.338672972632085e-07,0.002200016751885414,56.41025641025641,0.00048359828087288367
19,0.001700012944638729,0.001700012944638729,0.0018949969671666622,0.001800013706088066,2.236647951380631e-07,0.002200016751885414,56.41025641025641,0.000472932125297133
20,0.001700012944638729,0.001700012944638729,0.001885712013712951,0.001800013706088066,2.1429197295454914e-07,0.002200016751885414,56.41025641025641,0.0004629168099718881
21,0.001700012944638729,0.001700012944638729,0.00187727114693685,0.001800013706088066,2.0565505439254827e-07,0.002200016751885414,56.41025641025641,0.0004534920665155547
22,0.001700012944638729,0.001700012944638729,0.0018695642685760622,0.001800013706088066,1.9767320477826872e-07,0.002200016751885414,56.41025641025641,0.00044460454876020863
